content_id,source_url,title,text,chunk_index,question,expected_keywords
1,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","인공 일반 지능
지능형 에이전트
재귀적 자기 개선
계획 및 스케줄링
컴퓨터 비전
일반 게임 플레이
지식 표현 및 추론
자연어 처리
베이즈 네트워크
진화 알고리즘
하이브리드 인텔리전트 시스템
시스템 통합
오픈 소스 인공지능
AI 데이터 센터
생성형 인공지능예술오디오음악
의료정신 건강
소프트웨어 개발
쓰라린 교훈
친절한 AI
실존적 위험
불쾌한 골짜기
인간-AI 상호작용
인공지능 거품
딥페이크 포르노그래피테일러 스위프트 딥페이크 포르노그래피 논란Grok 딥페이크 포르노그래피 논란
테일러 스위프트 딥페이크 포르노그래피 논란
Grok 딥페이크 포르노그래피 논란
구글 제미나이 이미지 생성 논란
거대 AI 실험 중단: 공개 서한
오픈AI의 샘 올트먼 해임 사건
AI 위험에 관한 성명
테이 (챗봇)
Théâtre D'opéra Spatial
보이스버스 NFT 표절 스캔들",0,"인공 일반 지능
지능형 에이전트
재귀적 자기 개선
계획에 대해 설명해주세요.","인공 일반 지능
지능형 에이전트
재귀적 자기 개선
계획,스케줄링
컴퓨터 비전
일반 게임 플레이
지식 표현,추론
자연어 처리
베이즈 네트워크
진화 알고리즘
하이브리드 인텔리전트 시스템
시스템 통합
오픈 소스 인공지능,데이터 센터
생성형 인공지능예술오디오음악
의료정신 건강
소프트웨어 개발
쓰라린 교훈
친절한,실존적 위험
불쾌한 골짜기
인간"
2,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","테이 (챗봇)
Théâtre D'opéra Spatial
보이스버스 NFT 표절 스캔들
인공지능(人工智能,영어:artificial intelligence,AI)은인간의 학습능력,추론능력, 지각능력을 인공적으로 구현하려는컴퓨터 과학의 세부분야 중 하나이다. 정보공학 분야에 있어 하나의인프라기술이기도 하다.인간을 포함한 동물이 갖고 있는 지능 즉, 자연 지능(natural intelligence)과는 다른 개념이다.
인간의 지능을 모방한 기능을 갖춘컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와 같은 지능을 만들 수 있는 방법론이나 실현 가능성 등을 연구하는 과학 기술 분야를 지칭하기도 한다.

## 강인공지능과 약인공지능

초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다.",1,보이스버스에 대해 설명해주세요.,"보이스버스,표절 스캔들
인공지능,은인간의 학습능력,추론능력,지각능력을 인공적으로 구현하려는컴퓨터 과학의 세부분야"
3,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러나 이 정의는범용인공지능(AGI, 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하는 시스템, 이성적으로 사고하는 시스템 그리고 이성적으로 행동하는 시스템이라는 4개의 분류로 분류된다.인공지능의 작동 방식이 의사 결정과 문제 해결, 학습에 있어 사람의 생각이나 행동과 유사할수록 강한 인공지능으로 분류되고, 논리에 의해 만들어지는 합리적인 생각이나 행동에 가까울수록 약한 인공지능으로 분류된다.
약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나 컴퓨터로 처리하기에는 어려웠던 각종 문제를 컴퓨터로 수행하게 만드는데 중점을 두고 있다.",2,매카시가 제안한 것으로이란 무엇인가요?,"매카시가 제안한 것으로,기계를 인간 행동의 지식에서와 같이 행동하게 만드는,그러나,정의는범용인공지능,강한 인공지능"
4,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","컴퓨터로 처리하기에는 어려웠던 각종 문제를 컴퓨터로 수행하게 만드는데 중점을 두고 있다. 한참 막연한 인간 지능을 목표로 하기보다는 더 현실적으로 실용적인 목표를 가지고 개발되고 있는 인공지능이라고 할 수 있으며, 일반적인 지능을 가진 무언가라기보다는 특정한 문제를 해결하는 도구로써 활용된다.

## 강인공지능 (AGI)

강인공지능(strong AI) 또는인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결할 수 있는 ""일반 지능""을 인공적으로 구현하려는 시도이다. 오늘날 이 분야의 연구는 주로 미리 정의된 규칙의 모음을 이용해서 지능을 흉내내는 컴퓨터 프로그램을 개발하는 것에 맞추어져 있다. 강한 인공지능 분야의 발전은 여전히 미약하지만, 인간과 같은 지능이라는 목표를 어떻게 정의하는지에 따라 어느 정도 발전이 이루어지고 있다고도 볼 수 있다.

## 강인공지능의 실현 가능성에 관한 논쟁",3,강인공지능의 주요 특징은 무엇인가요?,"강인공지능,컴퓨터로 처리하기에는 어려웠던 각종 문제를 컴퓨터로 수행하게 만드는데 중점을 두고 있다,한참 막연한 인간 지능을 목표로 하기보다는,현실적으로 실용적인 목표를 가지고 개발되고 있는 인공지능이라고,있으며"
5,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","발전이 이루어지고 있다고도 볼 수 있다.

## 강인공지능의 실현 가능성에 관한 논쟁

존 설이나휴버트 드라이퍼스와 같은 몇몇 철학자들은 몸이 아닌 기계에 인간의 지능이나 의식을 구현하는 작업의 실현 가능성에 대한 철학적 바탕을 두고 논쟁을 벌였다. 설은,튜링 테스트의 통과 여부는 사람의 기준으로 볼 때 기계가 의식을 갖추었다는 판단의 필요 조건이 되지 못한다는중국어 방에 대한 논증으로 유명하다. 드라이퍼스는 그의 저서 ""컴퓨터가 할 수 없는 것들: 인공적인 추론에 대한 비평""에서 의식이라는 것은 룰이나 논리 기반 시스템 또는 물리적인 형태를 가지고 있지 않은 시스템에서 찾을 수 없으나, 신경망(neural network)이나 그 유사한 메커니즘을 이용하는 로보틱 시스템은 인공지능을 실현할 수 있는 가능성이 있다고 주장했다.
다른 철학자들은 엇갈린 관점을 고수한다.",4,발전이 이루어지고 있다고도이란 무엇인가요?,"발전이 이루어지고 있다고도,강인공지능의 실현 가능성에 관한 논쟁,설이나휴버트 드라이퍼스와 같은 몇몇 철학자들은 몸이 아닌 기계에 인간의 지능이나 의식을 구현하는 작업의 실현 가능성에 대한 철학적 바탕을 두고 논쟁을 벌였다,튜링 테스트의 통과 여부는 사람의 기준으로,기계가 의식을 갖추었다는 판단의 필요 조건이 되지 못한다는중국어 방에 대한 논증으로 유명하다"
6,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","능을 실현할 수 있는 가능성이 있다고 주장했다.
다른 철학자들은 엇갈린 관점을 고수한다. 많은 사람들이 약한 인공지능 정도는 가능하다고 보지만, 또한 많은 사람들이 강한 인공지능을 지지하고 있는 것도 사실이다.대니얼 C. 데넷은 그의 '의식에 대한 설명'에서 만일 마법의 불꽃이나 영혼이 없다면 인간은 기계에 불과하다며, 지능에 대해서만 인간이라는 기계가 다른 실현 가능한 모든 기계와 다르게 특별 취급을 받아야할 이유가 무엇인가 묻고 있다.
어떤 철학자들은 우리가 약한 인공지능을 가능한 것으로 받아들인다면, 강한 인공지능 역시 받아들여야 한다고 주장한다. 지능은 외견상 보이는 것을 가리키는 것이지 진정한 실체가 아니라는 약한 인공지능의 입장은 많은 비판을 받고 있다. 그러나 이에 반하는 손쉬운 예를 사이먼 블랙번의 철학 입문서 ""생각""에서 찾을 수 있다. 블랙번은 당신이 지능적으로 보이지만, 그 지능이 실존하는가에 대해서 말할 수 있는 방법이 없다고 지적한다.",5,"인공지능 - 위키백과, 우리 모두의 백과사전에서 능을 실현할은 어떤 역할을 하나요?","능을 실현할,있는 가능성이 있다고 주장했다,다른 철학자들은 엇갈린 관점을 고수한다,많은 사람들이 약한 인공지능 정도는 가능하다고 보지만,또한 많은 사람들이 강한 인공지능을 지지하고 있는 것도 사실이다"
7,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","능적으로 보이지만, 그 지능이 실존하는가에 대해서 말할 수 있는 방법이 없다고 지적한다. 그는 우리는 단지 믿음 또는 신념 위에서 그것을 다룰 뿐이라고 이야기한다.
강한 인공지능을 지지하는 사람들은 인공지능에 반대하는 사람들의 논증이 결국은 아래와 같은 주장을 조합한 것이라고 주장한다.
특권에 바탕을 둔 오만함으로 인해 인간에게는 (기계에는 없는) 마법의 불꽃이 있다는 주장 (예를 들면, 신에 의해 주어진 영혼)
지능은 기계로는 성취될 수 없는 그 무엇이라는 주장.
강한 인공지능을 뒷받침하는 논증(따라서 반대하는 사람은 이 논증을 논박해야 한다.)은 다음과 같다.
인간의 마음은유한 상태 기계(Finite State Machine)이고, 따라서처치-튜링 이론은 뇌에 적용 가능하다.
뇌는 순수한 하드웨어이다.(말하자면 고전적인 컴퓨터처럼 동작한다.)
인간의 마음은 오로지 뇌를 통해서만 존재한다.",6,능적으로 보이지만에 대해 설명해주세요.,"능적으로 보이지만,지능이 실존하는가에 대해서 말할,있는 방법이 없다고 지적한다,그는 우리는 단지 믿음 또는 신념 위에서 그것을 다룰 뿐이라고 이야기한다,강한 인공지능을 지지하는 사람들은 인공지능에 반대하는 사람들의 논증이 결국은 아래와 같은 주장을 조합한 것이라고 주장한다"
8,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","(말하자면 고전적인 컴퓨터처럼 동작한다.)
인간의 마음은 오로지 뇌를 통해서만 존재한다.
로저 펜로즈를 포함한 몇몇 학자들은 지능에처치-튜링 명제의 적용이 가능하지 않다고 논박한다. 특히 펜로즈는 인간의 마음에는 물리적인 속성을 뛰어넘는 무언가가 있다고 이야기하며, 그의 주장은 우리의 우주 안에서 초연산(hypercomputation)이 가능하다는 논증에 바탕을 두고 있다. 양자역학과 뉴턴 역학에 따르면 이러한 초연산은 가능하지 않지만, 특별한시공간에서는 가능한 것으로 생각되기도 한다. 그러나 이는 소수의 주장이며, 우리의 우주는 그러한 초연산이 가능할 정도로 꼬이지(convoluted) 않았다는 많은 학자들의 합의가 존재한다.

## 인공지능 이론의 발전

상당수 인공지능 연구의 (본래) 목적은 심리학에 대한 실험적인 접근이었고, 언어 지능(linguistic intelligence)이 무엇인지를 밝혀내는 것이 주목표였다(튜링 테스트가 대표적인 예이다).",7,말하자면 고전적인 컴퓨터처럼 동작한다이란 무엇인가요?,"말하자면 고전적인 컴퓨터처럼 동작한다,인간의 마음은 오로지 뇌를 통해서만 존재한다,로저 펜로즈를 포함한 몇몇 학자들은 지능에처치,튜링 명제의 적용이 가능하지 않다고 논박한다,특히 펜로즈는 인간의 마음에는 물리적인 속성을 뛰어넘는 무언가가 있다고 이야기하며"
9,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","lligence)이 무엇인지를 밝혀내는 것이 주목표였다(튜링 테스트가 대표적인 예이다).
언어 지능을 제외한 인공지능에 대한 시도들은로보틱스와 집합적 지식을 포함한다. 이들은 환경에 대한 처리, 의사 결정을 일치시키는 것에 중심을 두며 어떻게 지능적 행동이 구성되는 것인가를 찾을 때,생물학과,정치과학으로부터 이끌어 낸다. 사회적 계획성과 인지성의 능력은 떨어지지만 인간과 유사한 유인원을 포함한, 복잡한 인식방법을 가진 동물뿐만 아니라 특히 곤충들(로봇들로 모방하기 쉬운)까지 포함한 동물학으로부터 인공지능 과학은 시작된다. 여러 가지 생명체들의 모든 논리구조를 가져온 다는 것은 이론적으로는 가능하지만 수치화, 기계화 한다는 것은 쉬운 일이 아니다.
인공지능 학자는 동물들은 인간들보다 모방하기 쉽다고 주장한다. 그러나 동물의 지능을 만족하는 계산 모델은 없다.매컬러가 쓴 신경 행동에서 내재적 사고의 논리적 계산,튜링의 기계와 지능의 계산그리고리클라이더의 인간과 컴퓨터의 공생가 기계 지능",8,무엇인지를 밝혀내는 것이 주목표였다의 주요 특징은 무엇인가요?,"무엇인지를 밝혀내는 것이 주목표였다,튜링 테스트가 대표적인 예이다,언어 지능을 제외한 인공지능에 대한 시도들은로보틱스와 집합적 지식을 포함한다,이들은 환경에 대한 처리,의사 결정을 일치시키는 것에 중심을 두며 어떻게 지능적 행동이 구성되는 것인가를 찾을"
10,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5,"인공지능 - 위키백과, 우리 모두의 백과사전","논리적 계산,튜링의 기계와 지능의 계산그리고리클라이더의 인간과 컴퓨터의 공생가 기계 지능의 개념에 관한 독창적인 논문들이다.
존 루커스의 지성, 기계, 괴델과 같은 논리학과 철학기반의 기계지능의 가능성을 부인한 초기 논문들도 있다.
인공지능 연구에 바탕을 둔 실질적인 작업이 결실을 거둠에 따라, 인공지능을 지지하는 사람들은 인공지능의 업적을 깎아내리기 위해 인공지능에 반대하는 사람들이 예전에는 '지능적'인 일이라고 주장하던 컴퓨터 체스나 바둑, 음성인식 등과 같은 작업에 대해 말을 바꾸고 있다고 비난하였다. 그들은 이와 같이 연구 목표를 옮기는 작업은 '지능'을 '인간은 할 수 있지만, 기계는 할 수 없는 어떤 것'으로 정의하는 역할을 한다고 지적하였다.
(E.T. Jaynes에 따르면)존 폰 노이만은 이미 이를 예측하였는데,1948년에 기계가 생각하는 것은 불가능하다는 강의를 듣고 다음과 같이 말하였다. ""당신은 기계가 할 수 없는 어떤 것이 있다고 주장한다.",9,논리적 계산이란 무엇인가요?,"논리적 계산,튜링의 기계와 지능의 계산그리고리클라이더의 인간과 컴퓨터의 공생가 기계 지능의 개념에 관한 독창적인 논문들이다,루커스의 지성,괴델과 같은 논리학과 철학기반의 기계지능의 가능성을 부인한 초기 논문들도 있다,인공지능 연구에 바탕을"
